id,title,link,image_link,product_type,condition,availability,description,price,brand,mpn,shipping,google_product_category
SACT31PM1,Service À Café Turc 31 Pièces M1,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1tOylKKDdU-9uD5DKJm8e_6KAUWVtOOu1,Hardware > Building Materials > Glass,new,in stock,"Porcelaine et Bronze, Turc Composition: 6 Tasses en porcelaines, 6 sous-coupes, 6 Sous-Tasses, 6 Couvercles (2 pièces), 1 Support ",164,Cakado Brand,SACT31PM1,,Home & Garden
SCTM4,Service Café Turc M4,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1iyC0heCjAOQboGwpgzk-ktPDxKT8zB5v,Hardware > Building Materials > Glass,new,in stock," Porcelaine et Bronze, Turc, Nombre de pièces: 7, Composition: 2 Tasses en porcelaines, 2 sous-coupes, 2 Couvercles, 1 SupportPorcelaine et Bronze, Turc, Nombre de pièces: 7, 2 Tasses en porcelaines, 2 sous-coupes, 2 Couvercles, 1 Support ",49,Cakado Brand,SACT31PM2,,Home & Garden
SACT31PM3,Service À Café Turc 31 Pièces M3,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1tR5Lt2027ajyiyxQ70-IwU12jRRMIrts,Hardware > Building Materials > Glass,new,in stock,"Porcelaine et Bronze Turc, 6 Tasses en porcelaines, 6 sous-coupes, 6 Sous-Tasses, 6 Couvercles , 6 cuillères, 1 Support ",154,Cakado Brand,SACT31PM3,,Home & Garden
SACT31PM2,Service À Café Turc 31 Pièces M2,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1XphdQrdSszxSIM770lqxafhSqqBiW10K,Hardware > Building Materials > Glass,new,in stock,"Composé de 6 tasses en porcelaine encastrées dans des sous-coupes en bronze, ce service de par sa beauté, saura apporter un peu plus de décoration à votre table. Assorti de 6 sous-tasses, de 6 sous-coupes, de 6 couvercles, de 6 cuillères et d'un support, il vous permet de déguster de nombreuses boissons telles que du café.",154,Cakado Brand,SACT31PM4,,Home & Garden
SCTAS37PBM2,Service Café Turque Avec Support 37 Pièces Bronze Motif 2,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=18FCXEj_vAB_-5ZniBhaW2AN-b_hjP6-H,Hardware > Building Materials > Glass,new,in stock,"Composé de 6 tasses en porcelaine encastrées dans des sous-coupes en bronze, ce service de par sa beauté, saura apporter un peu plus de décoration à votre table. Assorti de 6 sous-tasses, de 6 sous-coupes, de 6 couvercles et d'un support, il vous permet de déguster de nombreuses boissons telles que du café ou du thé.",154,Cakado Brand,SACT31PM5,,Home & Garden
SCTAS37PBM1,Service Café Turque Avec Support 37 Pièces Bronze Motif 1,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1km9vQDZpCi5UgJnXJ-T5vFU0bG7bqbjZ,Hardware > Building Materials > Glass,new,in stock,"Porcelaine et Bronze Nombre de pièces: 37 Modèle : Turc, Composition: 6 Tasses en porcelaines, 6 sous coupes, 6 Sous Tasses, 6 Cuillères, 6 Couvercles (2 pièces ), 1 Support démontable Multi pièce( plateau + pot de sucre + support  Cuillère et  Sous Tasses )",154,Cakado Brand,SACT31PM6,,Home & Garden
LD6VAVBRIU305MI,"Lot De 6 Verres À Vin Bormioli Rocco Inalto Uno 305 Ml
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=1TLd5n_v20qxrqKIXk9cV8Nt4cyxe43JO,Hardware > Building Materials > Glass,new,in stock,"Verres à vin Inalto Uno par Bormioli Rocco, Dimensions : Verre taille S : 20.5 cm x 7.5 cm,Fabriqués en « star glass » : un verre très transparent et 100 % recyclable,Contenance : Verre taille S : 305 ml,Peuvent être mis au lave-vaisselle",52,Cakado Brand,LD6VAVBRIU305MI,,Home & Garden
BLH29CS,Bonbonière Luxor H29Cm Cok Spain,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=17qnz-NcSPPmyYYfOwc-vpV8D4Wt4DSjL,Hardware > Building Materials > Glass,new,in stock,"COK,hauteur : 29cm,La jolie figurine apportera à coup sûr une ambiance incroyable à votre fête de vacances ou à toute autre célébration ,La tige et la base robustes donnent une forte adhérence et la font tenir debout.",29.5,Cakado Brand,BLH29CS,,Home & Garden
BMH33CS,"Bonboniere Menphis H33Cm Cok Spain
",https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=14ztVaW8i9x9PDic7NA7fLpOlVgpkSXC5,Hardware > Building Materials > Glass,new,in stock,"COK,hauteur : 33Cm, Idéal pour une utilisation quotidienne et servir des invités lors d'occasions spéciales, ajoutant du style et de l'élégance à la composition de votre table",28.5,Cakado Brand,BMH33CS,,Home & Garden
SCTAS31PBM2,Service Café Turque Avec Support 31 Pièces Bronze Motif 2,https://www.facebook.com/cakadoo,https://drive.google.com/uc?export=view&id=18FCXEj_vAB_-5ZniBhaW2AN-b_hjP6-H,Hardware > Building Materials > Glass,new,in stock,"Composé de 6 tasses en porcelaine encastrées dans des sous-coupes en bronze, ce service de par sa beauté, saura apporter un peu plus de décoration à votre table. Assorti de 6 sous-tasses, de 6 sous-coupes, de 6 couvercles et d'un support, il vous permet de déguster de nombreuses boissons telles que du café ou du thé.","164,000",Cakado Brand,SCTAS31PBM2,,Home & Garden
